"@lat"	"@lon"	"name"	"type"
"49.1653890"	"6.7905976"	"Aussichtsplattform Carrière Freyming"	"viewpoint"
"47.2358285"	"6.0268677"	"Musée du Temps"	"museum"
"45.0478759"	"-0.5985721"	"Panorama du Bec d'Ambes"	"viewpoint"
"44.8497100"	"0.4837602"	"Musée du Tabac"	"museum"
"47.7995043"	"-4.3371580"	"Anciens Fours à goémon"	"attraction"
"49.0427110"	"5.6617809"	"Écomusée"	"museum"
"47.3392698"	"6.3671252"	"Croix de Châtard"	"viewpoint"
"48.3799552"	"-3.3922868"	"Menhirs Jumeaux"	"archaeological_site"
"48.3799552"	"-3.3922868"	"Menhirs Jumeaux"	"attraction"
"47.0214963"	"4.8398035"	"Musée des Beaux Arts"	"museum"
"47.3482699"	"6.3824768"	"Lonot"	"viewpoint"
"43.3692008"	"6.0210181"	"L'Amarron"	"viewpoint"
"42.7273259"	"2.6973279"	"Força Réal"	"viewpoint"
"48.0103978"	"6.7551094"	"Saut du Bouchot"	"attraction"
"50.8757083"	"1.6487251"	"Point de vue de la Motte du Bourg"	"viewpoint"
"47.1384746"	"5.8364011"	"Grotte d’Osselle"	"attraction"
"49.0591902"	"7.3715526"	"Simserhof (Ligne Maginot)"	"ruins"
"49.0591902"	"7.3715526"	"Simserhof (Ligne Maginot)"	"attraction"
"43.3553935"	"2.6806735"	"Gorges de la Cesse"	"viewpoint"
"47.0023416"	"4.7774786"	"Statue Vierge Marie"	"wayside_shrine"
"47.0023416"	"4.7774786"	"Statue Vierge Marie"	"attraction"
"43.7440483"	"4.7922127"	"Lavoir"	"attraction"
"43.1869927"	"2.0370062"	"Le Seignadou"	"viewpoint"
"47.7982722"	"-4.3499886"	"Ancien Four à Goémon"	"attraction"
"46.8779340"	"-2.1262187"	"Belvédère du Pey de la Blet"	"viewpoint"
"45.0722069"	"2.5982043"	"Puy de Barrierou"	"viewpoint"
"49.4923688"	"5.9758920"	"Musée National de la Résistance"	"museum"
"44.0880082"	"2.9036201"	"Aire de Montjaux"	"viewpoint"
"43.9587501"	"0.3720146"	"Musee de l'Armagnac"	"museum"
"43.4405767"	"2.5214950"	"mémorial des aviateurs"	"memorial"
"43.4405767"	"2.5214950"	"mémorial des aviateurs"	"viewpoint"
"46.3020780"	"6.0263397"	"Sources de l'Allondon"	"viewpoint"
"48.8373208"	"-0.8991192"	"Vaux de Vire"	"viewpoint"
"44.7615928"	"-1.1423901"	"Ovniport d'Arès (Acceuil des Martiens)"	"attraction"
"46.2648215"	"5.8693172"	"Borne frontière"	"milestone"
"46.2648215"	"5.8693172"	"Borne frontière"	"attraction"
"48.8957352"	"2.3886935"	"Cité des Enfants (5-12 ans)"	"museum"
"48.9532012"	"7.8428540"	"Le plus vieux forage de pétrole au monde"	"attraction"
"44.0459632"	"5.3318170"	"Belvedere de Castellaras"	"viewpoint"
"45.0318662"	"-1.1427631"	"Belvédère du Cousseau"	"viewpoint"
"47.9626544"	"6.7339076"	"Cascade du Mainqueyon"	"attraction"
"45.8648214"	"5.7743454"	"Point de vue du Fenestrez"	"viewpoint"
"46.6842431"	"-0.4143322"	"Nombril du Monde"	"attraction"
"44.1748018"	"6.2384864"	"Ichtyosaure fossilisé"	"attraction"
"43.9142224"	"5.4963859"	"Le Colorado Provençal"	"attraction"
"45.8603621"	"6.1313960"	"Croix du Chef-Lieu"	"wayside_cross"
"45.8603621"	"6.1313960"	"Croix du Chef-Lieu"	"viewpoint"
"45.0727812"	"5.3979790"	"Grotte de Choranche"	"attraction"
"42.8028786"	"-0.5450279"	"Route Géologique Transpyrénéenne"	"attraction"
"48.0736737"	"-1.7156678"	"Guérite allemande 1939-1945"	"attraction"
"44.3820689"	"4.4164436"	"Le Pont d'Arc"	"attraction"
"47.8147949"	"7.1013501"	"L'Œil de la Sorcière"	"attraction"
"50.3469831"	"1.8209867"	"Les Jardins de Valloires"	"attraction"
"48.0097702"	"6.9826891"	"Rainkopf"	"viewpoint"
"46.8678483"	"5.8094592"	"Belvédère du Fer à Cheval"	"viewpoint"
"43.3046227"	"-0.3749806"	"Musée de la Résistance et de la Déportation"	"museum"
"43.2948750"	"-0.3754333"	"Musée National du Château de Pau"	"museum"
"43.3462411"	"-0.3871105"	"Musée des parachutistes"	"museum"
